,Date,StringencyIndex_WeightedAverage,C6E_Stay at home requirements,PopulationVaccinated
1092,20221228,47.69,0.0,89.35
1093,20221229,47.69,0.0,89.35
1094,20221230,47.69,0.0,89.35
1095,20221231,47.69,0.0,89.35
1096,20230101,0.0,0.0,89.35
1097,20230102,0.0,0.0,89.35
1098,20230103,0.0,0.0,89.35
1099,20230104,0.0,0.0,89.35
1100,20230105,0.0,0.0,89.35
1101,20230106,0.0,0.0,89.35
1102,20230107,0.0,0.0,89.35
1103,20230108,0.0,0.0,89.35
1104,20230109,0.0,0.0,89.35
1105,20230110,0.0,0.0,89.35
1106,20230111,0.0,0.0,89.35
1107,20230112,0.0,0.0,89.51
1108,20230113,0.0,0.0,89.51
1109,20230114,0.0,0.0,89.51
1110,20230115,0.0,0.0,89.51
1111,20230116,0.0,0.0,89.51
1112,20230117,0.0,0.0,89.51
1113,20230118,0.0,0.0,89.51
1114,20230119,0.0,0.0,89.52
1115,20230120,0.0,0.0,89.52
1116,20230121,0.0,0.0,89.52
1117,20230122,0.0,0.0,89.52
1118,20230123,0.0,0.0,89.52
1119,20230124,0.0,0.0,89.52
1120,20230125,0.0,0.0,89.52
1121,20230126,0.0,0.0,89.53
1122,20230127,0.0,0.0,89.53
1123,20230128,0.0,0.0,89.53
1124,20230129,0.0,0.0,89.53
1125,20230130,0.0,0.0,89.53
1126,20230131,0.0,0.0,89.53
1127,20230201,0.0,0.0,89.53
1128,20230202,0.0,0.0,89.53
1129,20230203,0.0,0.0,89.53
1130,20230204,0.0,0.0,89.53
1131,20230205,0.0,0.0,89.53
1132,20230206,0.0,0.0,89.53
1133,20230207,0.0,0.0,89.53
1134,20230208,0.0,0.0,89.53
1135,20230209,0.0,0.0,89.54
1136,20230210,0.0,0.0,89.54
1137,20230211,0.0,0.0,89.54
1138,20230212,0.0,0.0,89.54
1139,20230213,0.0,0.0,89.54
1140,20230214,0.0,0.0,89.54
1141,20230215,0.0,0.0,89.54
1142,20230216,0.0,0.0,89.54
1143,20230217,0.0,0.0,89.54
1144,20230218,0.0,0.0,89.54
1145,20230219,0.0,0.0,89.54
1146,20230220,0.0,0.0,89.54
1147,20230221,0.0,0.0,89.54
1148,20230222,0.0,0.0,89.54
1149,20230223,0.0,0.0,89.54
1150,20230224,0.0,0.0,89.54
1151,20230225,0.0,0.0,89.54
1152,20230226,0.0,0.0,89.54
1153,20230227,0.0,0.0,89.54
1154,20230228,0.0,0.0,89.54
